                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1081,                   3.84,                 1.6605,                0.00167,                    0.5,                0.01692,                0.00522,                      0,                    inf,                      0,                    0.1,                      0,                      0
                      1,                 1.7087,                  3.938,                 1.7006,                0.00167,                    0.5,                 0.0181,                0.00557,                      0,                    inf,                      0,                 0.0991,             9.9505e-05,             9.9505e-05
                      2,                 1.9787,                 4.2946,                  1.803,                0.00167,                    0.5,                0.01946,                0.00598,                      0,                    inf,                      0,               0.098198,             0.00019802,             0.00019802
                      3,                 1.7764,                 4.2395,                 1.8455,                0.00167,                    0.5,                0.02105,                0.00645,                      0,                    inf,                      0,               0.097296,             0.00029554,             0.00029554
                      4,                 1.8074,                  4.324,                 1.7346,                0.00167,                    0.5,                0.12418,                0.01325,                      0,                    inf,                      0,               0.096392,             0.00039208,             0.00039208
                      5,                 2.1715,                  3.982,                 1.7931,                0.00167,                    0.5,                0.12418,                0.02526,                      0,                    inf,                      0,               0.095488,             0.00048762,             0.00048762
                      6,                 2.3849,                 3.9256,                 1.8415,                0.00167,                    0.5,                0.12418,                0.03754,                      0,                    inf,                      0,               0.094582,             0.00058218,             0.00058218
                      7,                 1.7589,                 4.1203,                 1.7816,                0.00167,                    0.5,                0.08292,                0.02517,                      0,                    inf,                      0,               0.093676,             0.00067574,             0.00067574
                      8,                 1.3438,                  4.017,                 1.0711,                0.00167,                    0.5,                 0.0623,                0.01898,                      0,                    inf,                      0,               0.092768,             0.00076832,             0.00076832
                      9,                 1.0071,                 3.3149,                 1.0964,                0.00333,                      1,                0.16942,                0.05048,                      0,                    inf,                      0,                0.09186,             0.00085991,             0.00085991
                     10,                 1.3014,                 3.5464,                 1.2559,                0.00333,                      1,                0.49961,                0.15021,                      0,                    inf,                      0,               0.090951,              0.0009505,              0.0009505
                     11,                 1.3641,                 3.3589,                 1.1735,                0.00333,                      1,                0.49988,                0.15076,                      0,                    inf,                      0,                0.09004,              0.0010401,              0.0010401
                     12,                 1.0359,                 3.5075,                 1.1334,                0.00333,                      1,                  0.995,                0.25086,                      0,                    inf,                      0,               0.089129,              0.0011287,              0.0011287
                     13,                0.89664,                 3.5776,                  1.004,                0.00333,                      1,                  0.745,                0.27463,                      0,                    inf,                      0,               0.088216,              0.0012163,              0.0012163
                     14,                0.95512,                 3.1256,                 1.0802,                0.00333,                      1,                  0.745,                 0.2503,                      0,                    inf,                      0,               0.087303,               0.001303,               0.001303
                     15,                 1.1196,                 3.3944,                  1.167,                0.00333,                      1,                  0.745,                0.25027,                      0,                    inf,                      0,               0.086389,              0.0013886,              0.0013886
                     16,                0.97998,                 3.2023,                 1.0416,                0.00333,                      1,                 0.4475,                0.14121,                      0,                    inf,                      0,               0.085473,              0.0014733,              0.0014733
                     17,                0.86512,                 3.0661,                 0.9178,                0.00333,                      1,                 0.4475,                0.14121,                      0,                    inf,                      0,               0.084557,              0.0015569,              0.0015569
                     18,                0.86759,                 2.8968,                0.92185,                0.00333,                      1,                 0.4975,                0.15151,                      0,                    inf,                      0,                0.08364,              0.0016396,              0.0016396
                     19,                0.85809,                 2.9937,                0.98734,                0.00333,                      1,                 0.4975,                0.15151,                      0,                    inf,                      0,               0.082721,              0.0017213,              0.0017213
                     20,                0.87057,                 2.8462,                0.90796,                0.00333,                      1,                 0.4975,                0.15134,                      0,                    inf,                      0,               0.081802,               0.001802,               0.001802
                     21,                0.81035,                 2.6059,                0.74926,                0.00333,                      1,                 0.4975,                0.15134,                      0,                    inf,                      0,               0.080882,              0.0018817,              0.0018817
                     22,                0.62387,                 2.7075,                0.90851,                0.00333,                      1,                 0.4975,                0.15068,                      0,                    inf,                      0,                0.07996,              0.0019604,              0.0019604
